time/iterations,time/fps,time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,train/clip_range,rollout/ep_len_mean,train/learning_rate,train/entropy_loss,train/clip_fraction,train/loss,train/value_loss,train/std,train/approx_kl,train/explained_variance,train/policy_gradient_loss,train/n_updates,eval/mean_reward,eval/mean_ep_length,curriculum/shake_force
27,429,55296,128,991.6848915660377,0.09112533333333334,995.3962264150944,9.112533333333334e-05,-1.2230032056570053,0.00732421875,-0.00029357848688960075,0.002232462681422476,0.8207906484603882,0.00053673075,0.3022034764289856,-0.0005219797603785992,260,,,
28,434,57344,131,992.0021264999999,0.090784,995.6428571428571,9.0784e-05,-1.2204429775476455,0.060791015625,-0.003439072286710143,0.0009522122461930848,0.8194882869720459,0.0011244293,-0.4476848840713501,-0.003094236807373818,270,,,
29,439,59392,135,992.0776949298245,0.09044266666666667,995.719298245614,9.044266666666668e-05,-1.2186141222715379,0.004296875,0.0011179265566170216,0.0028137620465713553,0.8174619674682617,0.00039367378,0.32086414098739624,-0.0004856787651078776,280,,,
,,60000,,,0.09010133333333334,,9.010133333333333e-05,-1.2171230256557464,0.025341796875,-0.0009070304222404957,0.005845665602828376,0.8173384666442871,0.0009805802,0.6298705339431763,-0.0009096802648855373,290,996.6581433000001,1000.0,
30,368,61440,166,992.3432320166665,,995.9333333333333,,,,,,,,,,,,,0.390625
31,374,63488,169,992.4471240163933,0.08976,996.0,8.976e-05,-1.2161868557333946,0.00380859375,-0.00108087039552629,0.002554901738767512,0.815117597579956,0.00015767632,0.7911627888679504,-0.0008791266081971116,300,,,
32,381,65536,171,992.72481075,0.08941866666666667,996.1875,8.941866666666667e-05,-1.2137941598892212,0.014111328125,-0.0028709552716463804,0.0019501953167491593,0.8144991993904114,0.00060913316,0.5657469034194946,-0.001706790999742225,310,,,
33,388,67584,174,992.8090200153846,0.08907733333333334,996.2461538461539,8.907733333333334e-05,-1.2133937522768974,0.034423828125,-0.0007295488612726331,0.0026082334981765596,0.8142825365066528,0.001143073,0.8472764492034912,-0.001835886816843413,320,,,
34,394,69632,176,992.9713262205883,0.08873600000000001,996.4117647058823,8.873600000000001e-05,-1.2115392670035363,0.03349609375,-0.003306356258690357,0.002338019644957967,0.8106987476348877,0.00087642914,0.8542254567146301,-0.0018119699554517866,330,,,
35,400,71680,179,988.3279400285713,0.08839466666666668,991.8,8.839466666666668e-05,-1.20667974203825,0.00634765625,0.0012084876652806997,0.004487716440053191,0.8068020343780518,0.0004852333,0.4195236563682556,-0.0006643489454290829,340,,,
36,406,73728,181,988.6122832777778,0.08805333333333334,992.0277777777778,8.805333333333334e-05,-1.203062155842781,0.005224609375,0.005913751665502787,0.017272255494026466,0.8050699234008789,0.0003390144,0.6817350387573242,-0.001187256761477329,350,,,
37,411,75776,183,988.8437092972973,0.08771200000000001,992.2432432432432,8.7712e-05,-1.2029237732291223,0.0671875,-0.00439091119915247,0.002486415082239546,0.8070370554924011,0.0013859523,0.7040098905563354,-0.002950274699833244,360,,,
38,417,77824,186,989.0744603157895,0.08737066666666667,992.4473684210526,8.737066666666667e-05,-1.2035878658294679,0.02529296875,0.0036556757986545563,0.003580319487082306,0.8050404191017151,0.0006661847,0.5830461978912354,-0.0006313530975603499,370,,,
39,423,79872,188,988.9278172820513,0.08702933333333335,992.6410256410256,8.702933333333334e-05,-1.2009936079382897,0.01748046875,-0.0007231920026242733,0.005449436532217078,0.8032222986221313,0.0006705744,0.904360830783844,-0.0010259220216539688,380,,,
,,80000,,,0.086688,,8.668800000000001e-05,-1.1969548135995864,0.049755859375,-0.004801698494702578,0.0021269421122269705,0.7984402179718018,0.0010455999,0.7412034869194031,-0.0021228764118859543,390,996.4528754999999,1000.0,
40,374,81920,218,989.1629725125,,992.825,,,,,,,,,,,,,0.48828125
41,379,83968,221,989.278530609756,0.08634666666666667,993.0,8.634666666666667e-05,-1.1927813097834588,0.024951171875,0.001082714879885316,0.0021280422537529376,0.7970761656761169,0.0006166503,0.8399342894554138,-0.0015415953865158371,400,,,
42,383,86016,224,989.3237123809522,0.08600533333333334,993.1666666666666,8.600533333333333e-05,-1.1924221575260163,0.02841796875,0.004019704181700945,0.007006573729449883,0.7973222136497498,0.00071780337,0.7087646126747131,-0.0013737564266193658,410,,,
