time/total_timesteps,time/fps,time/iterations,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,train/approx_kl,train/n_updates,train/entropy_loss,train/policy_gradient_loss,train/value_loss,train/learning_rate,train/std,train/loss,train/clip_fraction,train/clip_range,train/explained_variance,eval/mean_reward,eval/mean_ep_length,curriculum/start_tilt
65536,344,32,190,439.21,349.85834971,0.0030043586,310,-1.0244661211967467,-0.004083260052721016,0.0003962529412092408,0.00029047679999999996,0.6661550402641296,-0.0018419685075059533,0.02919921875,0.19365120000000002,0.9952746033668518,,,
67584,348,33,193,450.36,361.4341139500001,0.0043435805,320,-1.0070404917001725,-0.010678316751727835,0.0013375156780966791,0.0002901696,0.659134566783905,-0.009956649504601955,0.035595703125,0.19344640000000002,0.9855719208717346,,,
69632,352,34,197,450.36,361.4341139500001,0.0038009677,330,-1.0014751970767974,-0.005132482878980227,0.004347792609769386,0.00028986239999999997,0.6594305634498596,-0.004375426098704338,0.03076171875,0.1932416,0.9921756386756897,,,
71680,355,35,201,486.67,395.94758707999995,0.007210273,340,-0.9903972439467907,-0.010196658212225884,0.0002043478441919433,0.0002895552,0.6424142122268677,-0.010325632058084011,0.085498046875,0.1930368,-0.8219559192657471,,,
73728,359,36,205,486.14,395.95136888,0.0024139169,350,-0.9642697110772133,-0.005384473694721237,0.00033543849112902533,0.000289248,0.6270467042922974,-0.013598792254924774,0.009033203125,0.192832,0.9964242577552795,,,
75776,362,37,209,517.75,425.84562157000005,0.0062869,360,-0.9371241934597492,-0.008221711381338537,0.00017617447701923084,0.00028894079999999996,0.6083101630210876,-0.0031394069083034992,0.05390625,0.1926272,0.9781723618507385,,,
77824,365,38,213,524.27,431.67744044000005,0.00446277,370,-0.9154584906995297,-0.004554702405584976,0.0005447592897326103,0.0002886336,0.6012607216835022,0.0008554118685424328,0.0283203125,0.1924224,0.9970702528953552,,,
79872,368,39,216,538.07,446.44017192000007,0.002736466,380,-0.8960367739200592,-0.005450844982988201,0.00021218747824605088,0.00028832639999999996,0.5833482146263123,-0.0010028344113379717,0.011181640625,0.1922176,0.9980204105377197,,,
80000,,,,,,0.0033138525,390,-0.8644904412329197,-0.005154483701335266,0.00025138542096101444,0.0002880192,0.5655269622802734,-0.0008532019564881921,0.0158203125,0.1920128,0.9983778595924377,999.660047,1000.0,
81920,330,40,247,556.28,463.8692463100001,,,,,,,,,,,,,,0.06612499999999999
83968,334,41,251,569.84,478.45891425,0.0040516355,400,-0.8305810853838921,-0.00480942137655802,0.00021108860964886845,0.00028771199999999997,0.5446743965148926,0.002895098878070712,0.012353515625,0.191808,-1.371293067932129,,,
86016,336,42,255,574.77,485.17919327000004,0.0020357152,410,-0.8009970702230931,-0.00477040768309962,0.0003534599311024067,0.00028740479999999995,0.5341213345527649,-0.004381056409329176,0.016357421875,0.1916032,0.9985576272010803,,,
88064,337,43,260,565.09,479.19012533999995,0.0035784938,420,-0.7813089348375797,-0.005266567741637118,0.0002324229233636288,0.0002870976,0.522881805896759,-0.01584852859377861,0.01923828125,0.1913984,0.9990732073783875,,,
90112,339,44,265,555.87,471.39044760999997,0.0046428517,430,-0.761235136538744,-0.007162543782033026,0.0002170646466765902,0.0002867904,0.5133990049362183,-0.010920191183686256,0.04873046875,0.19119360000000002,0.9989847540855408,,,
92160,342,45,269,546.5,466.17513907,0.0028933939,440,-0.7411183528602123,-0.008870058105094359,0.0001486806236243865,0.0002864832,0.5013875961303711,-0.006197299808263779,0.015185546875,0.19098880000000001,0.9990807175636292,,,
94208,343,46,273,555.85,475.33558493000004,0.0027496554,450,-0.7246457435190677,-0.00585814536025282,0.002564853721196414,0.00028617599999999997,0.49841880798339844,-0.01676035486161709,0.012451171875,0.190784,0.9818559885025024,,,
96256,346,47,278,537.83,459.46481810999995,0.0024825633,460,-0.7087454371154308,-0.00482003016222734,0.00018272578499818338,0.00028586879999999994,0.4839622676372528,-0.005487010348588228,0.02275390625,0.1905792,-1.2876932621002197,,,
98304,348,48,281,519.24,442.42724541999996,0.0024262574,470,-0.6876868359744549,-0.006269189549493603,0.00033832099761639257,0.0002855616,0.4797804057598114,-0.017081523314118385,0.025341796875,0.19037440000000003,0.9986696243286133,,,
100000,,,,,,0.0046297684,480,-0.675564919412136,-0.0075746591144707056,0.0001238819966602023,0.0002852544,0.47067445516586304,0.007047202438116074,0.020947265625,0.19016960000000002,0.9992617964744568,999.7126811,1000.0,
100352,320,49,313,529.25,452.10415938000006,,,,,,,,,,,,,,0.07604374999999998
102400,322,50,317,519.97,444.2323974,0.0030594007,490,-0.6530907593667508,-0.00761382321070414,0.00012891839633084602,0.0002849472,0.4588521420955658,-0.011863195337355137,0.016943359375,0.18996480000000002,0.999204158782959,,,
104448,324,51,321,529.58,453.9338610599999,0.002085192,500,-0.625194501131773,-0.007363462232751772,0.00012556446718008373,0.00028463999999999996,0.4454057812690735,-0.003844259073957801,0.0095703125,0.18976,0.9992416501045227,,,
106496,326,52,326,539.08,463.53523189,0.0037700534,510,-0.5937744341790676,-0.008390668311039916,0.00011051282190237544,0.00028433279999999994,0.4307924509048462,-0.02734222263097763,0.0318359375,0.1895552,-0.49357569217681885,,,
108544,328,53,330,548.75,473.33609481999997,0.002427436,520,-0.564890519529581,-0.007138736970955506,0.00013425386996459565,0.00028402559999999997,0.42080217599868774,-0.008152374066412449,0.0123046875,0.18935040000000003,0.9989861845970154,,,
110592,330,54,334,540.42,465.60232018000005,0.0015557158,530,-0.5367049165070057,-0.005560311724548228,8.60227856264828e-05,0.0002837184,0.40668341517448425,-0.012728620320558548,0.003857421875,0.18914560000000002,-0.5224196910858154,,,
112640,331,55,339,550.45,475.45017623,0.0033321609,540,-0.5118563242256642,-0.0038168817904079334,0.00016715741539883311,0.0002834112,0.40137192606925964,-0.01116367056965828,0.018603515625,0.18894080000000002,0.999617874622345,,,
114688,332,56,344,541.5,467.69257995,0.003940859,550,-0.493695841729641,-0.009161810029763729,9.643026351113804e-05,0.00028310399999999995,0.39089569449424744,-0.016394488513469696,0.02216796875,0.18873600000000001,0.9994924664497375,,,
116736,334,57,348,552.21,477.90225009999995,0.0044781966,560,-0.4697145089507103,-0.007619350898312405,0.00019649547894005082,0.0002827968,0.38343164324760437,-0.009132553823292255,0.04814453125,0.1885312,0.9994856715202332,,,
118784,336,58,353,543.28,470.1629447300001,0.002034312,570,-0.4514027487486601,-0.005407978188304696,0.00014676978898933157,0.00028248959999999996,0.37650957703590393,-0.004320413805544376,0.020849609375,0.1883264,0.9996950626373291,,,
120000,,,,,,0.0015535132,580,-0.43400739431381224,-0.0039792426250642166,0.00015282827253031427,0.0002821824,0.3702886998653412,-0.007653913926333189,0.01220703125,0.1881216,0.9996058344841003,999.4969478999999,1000.0,
120832,312,59,386,552.79,480.18845612999996,,,,,,,,,,,,,,0.08745031249999997
122880,314,60,391,562.08,490.15632228000004,0.0040567527,590,-0.4162791796028614,-0.006030211318284273,0.00017765738157322631,0.00028187519999999997,0.3634343445301056,-0.0029118682723492384,0.029150390625,0.1879168,0.9995695352554321,,,
